StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass,Ethnicity_Name,StudyTime_Norm,Engagement_Index,Participation_Total
1001,17,1,0,2,19.833722807854716,7,1,2,0,0,1,0,2.929195591667681,2.0,caucasian,0.9927731432791099,0.8449412002953769,1
1002,18,0,0,1,15.40875605584674,0,0,1,0,0,0,0,3.042914833436377,1.0,caucasian,0.7712704924672598,0.6148893447270818,0
1003,15,0,2,3,4.21056976881226,26,0,2,0,0,0,0,0.1126022544661815,4.0,hispanic,0.21071759210083985,0.29750231447058784,0
1004,17,1,0,3,10.028829473958217,14,0,3,1,0,0,0,2.0542181397029484,3.0,caucasian,0.5019649663815134,0.5763754764670594,1
1005,17,1,0,2,4.6724952729713305,17,1,3,0,0,0,0,1.2880611817953875,4.0,caucasian,0.23384041525028032,0.38868829067519617,0
1006,18,0,0,1,8.191218545250186,0,0,1,1,0,0,0,3.0841836144863937,1.0,caucasian,0.40997880813864107,0.36198516569704875,1
1007,15,0,1,1,15.601680474699297,10,0,3,0,1,0,0,2.748237414891583,2.0,african_american,0.780927801228458,0.7716494608599205,1
1008,15,1,1,4,15.424496305808074,22,1,1,1,0,0,0,1.360142712316461,4.0,african_american,0.7720584095943872,0.615440886716071,1
1009,17,0,0,0,4.562007558047703,1,0,2,0,1,0,1,2.896819189513569,2.0,caucasian,0.2283096795161368,0.30981677566129573,2
1010,16,1,0,1,18.4444663630972,0,0,3,1,0,0,0,3.5734742103297656,0.0,caucasian,0.923230477216908,0.8712613340518355,1
1011,17,0,0,1,11.851363655296536,11,0,1,0,0,0,0,2.1471716250185144,3.0,caucasian,0.5931964207598887,0.49023749453192206,0
1012,17,0,0,1,7.59848581924029,15,0,2,0,0,0,1,1.5595945190402771,4.0,caucasian,0.3803081060990047,0.4162156742693033,1
1013,17,0,1,1,10.038711615617212,21,0,3,1,0,0,0,1.520077814874808,4.0,african_american,0.5024596414143083,0.5767217489900158,1
1014,17,0,1,2,12.101425068754876,21,0,4,0,1,0,0,1.7515809583340785,4.0,african_american,0.6057138630483863,0.7239997041338704,1
1015,18,1,0,1,11.197810636915708,9,1,2,0,0,0,0,2.396788117124796,3.0,caucasian,0.5604812086169392,0.5423368460318574,0
1016,15,0,0,2,9.728100710723565,17,1,0,0,1,0,0,1.3415207165346672,4.0,caucasian,0.4869112446328433,0.3408378712429903,1
